2021-01-13 02:56:16,195 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in YDLidar G2-1
2021-01-13 02:56:16,195 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_link-1
2021-01-13 02:56:16,196 INFO  ExportHelperExtension.cs: 1136 - Found 87 in base_link-1
2021-01-13 02:56:16,196 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_link-1
2021-01-13 02:56:16,197 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,197 INFO  ExportHelperExtension.cs: 1136 - Found 93 in IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,198 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,198 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor wheel-2
2021-01-13 02:56:16,199 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-2
2021-01-13 02:56:16,199 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor wheel-2
2021-01-13 02:56:16,200 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from PCB, MPU-9255-1
2021-01-13 02:56:16,200 INFO  ExportHelperExtension.cs: 1136 - Found 36 in PCB, MPU-9255-1
2021-01-13 02:56:16,201 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in PCB, MPU-9255-1
2021-01-13 02:56:16,201 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robot_serving.SLDASM
2021-01-13 02:56:16,201 INFO  ExportHelperExtension.cs: 1136 - Found 75 in robot_serving.SLDASM
2021-01-13 02:56:16,202 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [RefAxis] in robot_serving.SLDASM
2021-01-13 02:56:16,202 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-01-13 02:56:16,203 INFO  ExportHelperExtension.cs: 1160 - 8 components to check
2021-01-13 02:56:16,203 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from serv_link-1
2021-01-13 02:56:16,203 INFO  ExportHelperExtension.cs: 1136 - Found 33 in serv_link-1
2021-01-13 02:56:16,204 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in serv_link-1
2021-01-13 02:56:16,204 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from golf_link-1
2021-01-13 02:56:16,205 INFO  ExportHelperExtension.cs: 1136 - Found 24 in golf_link-1
2021-01-13 02:56:16,205 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in golf_link-1
2021-01-13 02:56:16,205 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from motor wheel-1
2021-01-13 02:56:16,206 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-1
2021-01-13 02:56:16,206 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in motor wheel-1
2021-01-13 02:56:16,207 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from YDLidar G2-1
2021-01-13 02:56:16,207 INFO  ExportHelperExtension.cs: 1136 - Found 23 in YDLidar G2-1
2021-01-13 02:56:16,207 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in YDLidar G2-1
2021-01-13 02:56:16,208 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_link-1
